suburb,Population,Separate_house,Semi_detached_row,Flat_apartment,other,House_Price_Mean,Offences_Recorded
HADFIELD,36772,8140,4466,911,20,878750,0
HAMPTON,18587,4247,1582,1127,51,2412875,0
HAWTHORN,22322,2361,1558,5741,38,2905250,0
HEATHMONT,20698,7131,471,44,3,1070375,0
HEIDELBERG,27045,7239,1339,1514,18,1424500,0
HEIDELBERG HEIGHTS,14003,3428,1979,161,4,999875,0
HEIDELBERG WEST,14003,3428,1979,161,4,811375,0
HIGHETT,12007,2573,1381,834,41,1572625,0
HILLSIDE,51402,12656,2841,298,0,NA,NA
HOPPERS CROSSING,129888,33516,3435,985,0,583500,0
HUGHESDALE,24753,5793,1941,1621,5,1443800,0
HUNTINGDALE,24753,5793,1941,1621,5,1307325,0
IVANHOE,17055,3820,1208,1593,12,1845450,0
IVANHOE EAST,17055,3820,1208,1593,12,2288750,0
JACANA,21478,4855,865,791,3,623750,0
KEILOR DOWNS,26703,7902,976,48,3,787250,0
KEILOR EAST,15078,4390,1003,46,11,976500,0
KENSINGTON,17772,1491,3238,3075,33,1160875,0
KEW,24499,4577,2137,2324,22,2661875,0
KEW EAST,6620,1563,516,273,0,1900000,0
KEYSBOROUGH,30018,8144,858,97,0,927875,0
KINGSVILLE,27023,5798,2803,1892,41,1255000,0
KNOXFIELD,7645,2252,579,8,0,991875,0
KURUNJANG,40724,12438,1051,72,8,483125,0
LALOR,23219,7016,384,493,5,703275,0
LILYDALE,17348,5221,1240,9,61,851950,0
MACLEOD,14050,4122,910,122,8,1162950,0
MAIDSTONE,27023,5798,2803,1892,41,856875,0
MALVERN,10763,1972,822,1359,151,2981250,0
MALVERN EAST,23594,4644,2148,1941,142,2100625,0
MARIBYRNONG,29874,4607,3050,4387,22,1163125,1101
MARIBYRNONG,29874,4607,3050,4387,22,1163125,309
MARIBYRNONG,29874,4607,3050,4387,22,1163125,3649
MARIBYRNONG,29874,4607,3050,4387,22,1163125,3793
MCKINNON,33130,6923,2683,2654,51,1954500,0
MEADOW HEIGHTS,18081,4442,787,47,0,551625,0
MELBOURNE,43084,7,48,21559,10,NA,NA
MELTON,40724,12438,1051,72,8,457200,7398
MELTON,40724,12438,1051,72,8,457200,791
MELTON,40724,12438,1051,72,8,457200,1377
MELTON,40724,12438,1051,72,8,457200,4427
MENTONE,13221,2482,2099,1028,33,1389625,0
MERNDA,50494,15017,1137,129,5,657750,0
MIDDLE PARK,10043,719,2510,902,13,3049125,0
MILL PARK,28712,8819,981,256,0,759200,0
MITCHAM,16795,4063,2090,310,0,1219125,0
MONTMORENCY,9250,3088,417,36,0,1132375,0
MOONEE PONDS,16224,3064,1076,2697,17,1540500,0
MOORABBIN,6287,1852,209,345,5,1356250,0
MOOROOLBARK,23059,7673,348,16,5,834400,0
MORDIALLOC,37364,8238,3675,1765,39,1403575,0
MOUNT WAVERLEY,35340,8561,1227,2681,7,1515750,0
MULGRAVE,19889,5693,1127,19,4,1012500,0
MURRUMBEENA,32810,4677,4113,5248,66,1656625,0
NARRE WARREN,58600,16552,1039,236,87,698625,0
NEWPORT,18634,4373,2042,452,30,1300575,0
NOBLE PARK,39693,9537,1792,2332,3,754250,0
NORTH MELBOURNE,14953,272,1741,4430,39,1299375,0
NORTHCOTE,25276,5023,2801,2333,65,1672075,0
NUNAWADING,23191,6093,2287,276,3,1247500,0
OAK PARK,36772,8140,4466,911,20,1096625,0
OAKLEIGH,24753,5793,1941,1621,5,1358625,0
OAKLEIGH SOUTH,9851,2995,362,224,0,1169475,0
ORMOND,33130,6923,2683,2654,51,1946875,0
PAKENHAM,55588,16400,2349,105,49,598500,0
PARKDALE,37364,8238,3675,1765,39,1509750,0
PARKVILLE,7297,48,775,1320,4,1970250,0
PASCOE VALE,28701,6471,3899,523,25,1040625,0
PATTERSON LAKES,12032,2655,1516,698,4,1308125,0
PLENTY,2575,735,0,0,0,1485625,0
POINT COOK,119201,33400,4370,892,40,731375,0
PORT MELBOURNE,17633,467,3434,3912,17,1774875,0
PRAHRAN,19636,1592,2337,5856,33,1818125,0
PRESTON,33790,7600,3397,2498,138,1253875,0
RESERVOIR,51096,12804,6582,786,73,939125,0
RICHMOND,31534,2262,4690,7604,68,1465250,0
RIDDELLS CREEK,4390,1423,80,7,0,855000,0
RINGWOOD,34607,10846,872,1015,5,1015250,0
RINGWOOD EAST,20698,7131,471,44,3,1041750,0
RINGWOOD NORTH,34607,10846,872,1015,5,1159000,0
ROSANNA,27045,7239,1339,1514,18,1386325,0
ROWVILLE,33571,10469,822,97,4,1011975,0
