"","Suburb","House_price_mean"
"211","DEANSIDE",618625
"212","DEEPDENE",3362000
"213","DEER PARK",627625
"214","DELACOMBE",524375
"215","DELAHEY",642125
"216","DENNINGTON",508125
"217","Derrimut",724375
"218","DERRINALLUM",283250
"219","DIAMOND CREEK",997250
"220","DIGGERS REST",6e+05
"221","DIMBOOLA",198250
"222","DINGLEY VILLAGE",1056950
"223","DINNER PLAIN",785000
"224","DONALD",173000
"225","DONCASTER",1466000
"226","DONCASTER EAST",1496200
"227","DONNYBROOK",612750
"228","DONVALE",1344750
"229","DOREEN",705650
"230","DOVETON",584000
"231","DROMANA",986625
"232","DROUIN",573575
"233","DRYSDALE",730500
"234","DUNKELD",464200
"235","DUNOLLY",259750
"236","EAGLE POINT",417750
"237","EAGLEHAWK",444000
"238","EAGLEMONT",2509725
"239","EAST BAIRNSDALE",358500
"240","EAST BENDIGO",469625
"241","EAST GEELONG",878000
"242","EAST MELBOURNE",3341875
"243","EAST WARBURTON",632625
"244","EASTWOOD",536625
"245","ECHUCA",473000
"246","EDENHOPE",215675
"247","EDITHVALE",1221500
"248","EILDON",361250
"249","ELLIMINYT",518625
"250","ELMORE",333000
"251","ELSTERNWICK",2106250
"252","ELTHAM",1211950
"253","ELTHAM NORTH",1267250
"254","ELWOOD",2205625
"255","EMERALD",875250
"256","ENDEAVOUR HILLS",756375
"257","EPPING",647500
"258","EPSOM",532125
"259","ESKDALE",318250
"260","ESSENDON",1744500
"261","ESSENDON NORTH",1370625
"262","ESSENDON WEST",1324375
"263","EUMEMMERRING",648075
"264","EUREKA",434750
"265","EUROA",414625
"266","EYNESBURY",668750
"267","FAIRFIELD",1756500
"268","FAIRHAVEN",2015750
"269","FAWKNER",819375
"270","FERNTREE GULLY",865700
"271","FERNY CREEK",1039500
"272","FINGAL",1785000
"273","FITZROY",1450750
"274","FITZROY NORTH",1732500
"275","FIVEWAYS",834200
"276","FLEMINGTON",1214625
"277","FLINDERS",2714375
"278","FLORA HILL",483150
"279","FLOWERDALE",472500
"280","FOOTSCRAY",974125
"281","FOREST HILL",1203775
"282","FOSTER",453875
"283","FRANKSTON",747700
"284","FRANKSTON NORTH",578625
"285","FRANKSTON SOUTH",1139625
"286","FRASER RISE",678950
"287","FYANSFORD",827500
"288","GARDEN CITY",2110950
"289","GARFIELD",702875
"290","GEELONG",936750
"291","GEELONG WEST",878875
"292","GEMBROOK",797750
"293","GISBORNE",925750
"294","GLADSTONE PARK",725250
"295","GLEN HUNTLY",1803875
"296","GLEN IRIS",2397500
"297","GLEN WAVERLEY",1557500
"298","GLENGARRY",476125
"299","GLENROWAN",383825
"300","GLENROY",843750
"301","GOLDEN BEACH",335325
"302","GOLDEN POINT (BALLARAT)",502750
"303","GOLDEN SQUARE",477750
"304","GORDON",692450
"305","GOUGHS BAY",540825
"306","GOWANBRAE",961325
"307","GRANTVILLE",532500
"308","GREEN LAKE",381000
"309","GREENSBOROUGH",1003625
"310","GREENVALE",819075
"311","GROVEDALE",651625
"312","HADFIELD",878750
"313","HALLAM",695000
"314","HALLS GAP",424625
"315","HAMILTON",339500
"316","HAMLYN HEIGHTS",704900
"317","HAMPTON",2412875
"318","HAMPTON EAST",1512625
"319","HAMPTON PARK",618875
"320","HARCOURT",614750
"321","HARKNESS",539000
"322","HASTINGS",650775
"323","HASTINGS WEST",564875
"324","HAWTHORN",2905250
"325","HAWTHORN EAST",2306875
"326","HEALESVILLE",758125
"327","HEATHCOTE",403125
"328","HEATHERTON",1143125
"329","HEATHMONT",1070375
"330","HEIDELBERG",1424500
"331","HEIDELBERG HEIGHTS",999875
"332","HEIDELBERG WEST",811375
"333","HEPBURN",703750
"334","HEPBURN SPRINGS",789875
"335","HERNE HILL",733625
"336","HEYFIELD",326125
"337","HEYWOOD",240950
"338","HIGHETT",1572625
"339","HIGHTON",888900
"340","HILLSIDE (MELTON)",733750
"341","HOPETOUN",144875
"342","HOPPERS CROSSING",583500
"343","HORSHAM",346500
"344","HUGHESDALE",1443800
"345","HUNTINGDALE",1307325
"346","HUNTLY",487500
"347","HURSTBRIDGE",926500
"348","INDENTED HEAD",756125
