suburb,OctDec20,JanMar2021,AprJun2021,JulAug21,OctDec21
UPWEY,820000,810000,870000,946000,922500
WATERWAYS,1674000,1527500,1355000,1403000,1440000
YAN YEAN,NA,NA,NA,NA,NA
CRANBOURNE WEST,550000,585000,609000,628400,665000
WONGA PARK,1176000,1359500,1300000,1251000,1090000
BEACONSFIELD,712000,862500,861500,860500,956500
BOTANIC RIDGE,725000,780500,905000,895000,937500
GEMBROOK,730000,705000,922500,700000,863500
KILSYTH SOUTH,880000,895000,920000,953500,1181000
WOORI YALLOCK,600000,600000,625000,700000,670000
BACCHUS MARSH,518000,578500,596700,600000,580000
MACLEOD,981300,1160000,1078800,1175500,1237500
PANTON HILL,NA,NA,NA,NA,NA
LYNDHURST,716000,808100,757000,880000,871500
OFFICER,581000,623000,640000,650000,690000
MOUNT EVELYN,708000,807500,778000,850000,866300
KALKALLO,556700,590000,620000,607500,645000
WARRANDYTE SOUTH,NA,NA,NA,NA,NA
LYSTERFIELD,1047200,1115500,952000,1170000,1248000
GUYS HILL,NA,NA,NA,NA,NA
HURSTBRIDGE,840000,860000,943000,1010000,893000
WHITTLESEA,630000,641000,660000,705000,717500
WHITTLESEA,630000,641000,660000,705000,717500
WHITTLESEA,630000,641000,660000,705000,717500
WHITTLESEA,630000,641000,660000,705000,717500
MONBULK,720000,740000,745000,598500,852500
SILVAN,NA,NA,NA,NA,NA
WARBURTON,640000,650100,658000,682300,700000
COCKATOO,612000,655000,720300,731000,786000
KALLISTA,690000,799500,900000,838500,1035000
BULLENGAROOK,NA,NA,NA,NA,NA
BROOKFIELD,509000,503500,520000,550000,575000
BULLA,NA,NA,NA,NA,NA
SEVILLE,642500,725000,750000,820000,803300
OLINDA,815000,1000500,1190000,910000,1125000
AVONSLEIGH,627500,751800,688300,890000,858000
WILDWOOD,NA,NA,NA,NA,NA
CASTELLA,NA,NA,NA,NA,NA
PARK ORCHARDS,1610000,1750000,1752000,1822500,2260000
KALORAMA,765000,827500,780000,848500,802500
BELGRAVE,710000,730000,792500,822500,818000
BEACONSFIELD UPPER,890000,910000,827600,1137500,907700
COLDSTREAM,640000,670000,765000,740000,853800
HOPETOUN PARK,NA,NA,NA,NA,NA
TOOLERN VALE,NA,NA,NA,NA,NA
