"","suburb","Population","Separate_house","Semi_detached_row","Flat_apartment","other","Postcode","CouncilArea","House_price_mean","Type.x","Primary_School_number","Type.y","Pri_Sec_School_number","Type.x.x","Secondary_School_number","Type.y.y","Special_School_number","Type.x.x.x","Camp_School_number","Type.y.y.y","Language_School_number"
"37","BRUNSWICK",24912,3892,3235,3782,138,3056,"Moreland City Council",1338375,"Primary","0","Pri/Sec","0","Secondary","2","Special","0","Camp","0","Language","0"
"38","BRUNSWICK EAST",13262,1439,1640,3216,41,3057,"Moreland City Council",1391875,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"39","BRUNSWICK WEST",14746,2513,1334,2730,31,3055,"Moreland City Council",1345500,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"40","BULLEEN",11124,3351,510,348,4,3105,"Manningham City Council",1371000,"Primary","2","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"41","BUNDOORA",31529,8503,1699,1139,0,3083,"Banyule City Council",867000,"Primary","3","Pri/Sec","1","Secondary","2","Special","1","Camp","0","Language","0"
"42","BURWOOD",15147,3163,1451,842,0,3125,"Monash City Council",1435500,"Primary","2","Pri/Sec","2","Secondary","0","Special","0","Camp","0","Language","0"
"43","BURWOOD EAST",10675,2966,726,320,0,3151,"Whitehorse City Council",1267750,"Primary","1","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","1"
"44","CAMBERWELL",21965,4754,1713,1370,48,3124,"Boroondara City Council",2554500,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"45","CANTERBURY",7773,1795,651,309,25,3126,"Boroondara City Council",3437250,"Primary","1","Pri/Sec","2","Secondary","2","Special","0","Camp","0","Language","0"
"46","CARLTON",16034,93,1186,5583,38,3053,"Melbourne City Council",1505625,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"47","CARLTON NORTH",8186,279,2352,788,45,3054,"Melbourne City Council",1696625,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"48","CARNEGIE",32810,4677,4113,5248,66,3163,"Glen Eira City Council",1802775,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"49","CAROLINE SPRINGS",67146,17430,1894,353,4,3023,"Melton City Council",717700,"Primary","5","Pri/Sec","3","Secondary","2","Special","0","Camp","0","Language","0"
"50","CARRUM",12032,2655,1516,698,4,3197,"Kingston City Council",988375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"51","CARRUM DOWNS",21976,6563,1630,34,69,3201,"Frankston City Council",682825,"Primary","4","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"52","CAULFIELD EAST",23594,4644,2148,1941,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","CAULFIELD NORTH",16903,2449,1640,2669,7,3161,"Glen Eira City Council",2530625,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"54","CAULFIELD SOUTH",18075,3366,2258,1095,17,3162,"Glen Eira City Council",1899500,"Primary","2","Pri/Sec","3","Secondary","0","Special","0","Camp","0","Language","0"
"55","CHADSTONE",9552,1995,942,679,0,3148,"Monash City Council",1229375,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"56","CHELSEA",26876,5170,2893,2692,144,3196,"Kingston City Council",1197625,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"57","CHELTENHAM",24129,5572,2154,1747,37,3192,"Bayside City Council",1320875,"Primary","5","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"58","CHINTIN",15931,4803,349,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CLAYTON",21880,2640,2703,1794,3,3168,"Monash City Council",1174200,"Primary","2","Pri/Sec","0","Secondary","0","Special","1","Camp","0","Language","0"
"60","CLAYTON SOUTH",20820,4936,1875,542,0,3169,"Kingston City Council",957025,"Primary","4","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"61","CLIFTON HILL",19382,1413,4021,2660,46,3068,"Yarra City Council",1695125,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"62","COBURG",34906,8984,3087,1187,26,3058,"Darebin City Council",1256250,"Primary","3","Pri/Sec","1","Secondary","2","Special","1","Camp","0","Language","0"
"63","COBURG NORTH",34906,8984,3087,1187,26,3058,"Darebin City Council",1015375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"64","COLLINGWOOD",9179,259,1151,3062,17,3066,"Yarra City Council",1236750,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","1"
"65","CRAIGIEBURN",114413,29684,2517,301,3,3064,"Hume City Council",620625,"Primary","9","Pri/Sec","2","Secondary","3","Special","0","Camp","0","Language","0"
"66","CRANBOURNE",117143,32025,3891,520,4,3977,"Casey City Council",613750,"Primary","8","Pri/Sec","1","Secondary","4","Special","0","Camp","0","Language","0"
"67","CRANBOURNE NORTH",117143,32025,3891,520,4,3977,"Casey City Council",657100,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"68","CROYDON",46296,15399,1565,589,10,3136,"Maroondah City Council",930850,"Primary","5","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"69","CROYDON",46296,15399,1565,589,10,3136,"Maroondah City Council",930850,"Primary","5","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"70","DALLAS",21478,4855,865,791,3,3047,"Hume City Council",526300,"Primary","6","Pri/Sec","3","Secondary","1","Special","0","Camp","0","Language","0"
"71","DANDENONG",53545,10943,4675,2126,79,3175,"Greater Dandenong City Council",696375,"Primary","6","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"72","DANDENONG NORTH",53545,10943,4675,2126,79,3175,"Greater Dandenong City Council",726250,"Primary","4","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"73","DARLEY",25614,8259,760,74,42,3340,"Moorabool Shire Council",625375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"74","DEEPDENE",15621,3507,1514,844,7,3103,"Boroondara City Council",3362000,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"75","DEER PARK",67146,17430,1894,353,4,3023,"Brimbank City Council",627625,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"76","DELAHEY",51402,12656,2841,298,0,3037,"Brimbank City Council",642125,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"77","DIAMOND CREEK",12503,3921,227,5,0,3089,"Nillumbik Shire Council",997250,"Primary","4","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"78","DINGLEY VILLAGE",23261,6346,1093,125,60,3172,"Kingston City Council",1056950,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"79","DONCASTER",25054,5280,1950,2701,3,3108,"Manningham City Council",1466000,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"80","DONCASTER EAST",30926,6904,2522,1507,0,3109,"Manningham City Council",1496200,"Primary","5","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"81","DONVALE",12644,3749,444,128,0,3111,"Manningham City Council",1344750,"Primary","2","Pri/Sec","1","Secondary","1","Special","1","Camp","0","Language","0"
