"","suburb","Population","Separate_house","Semi_detached_row","Flat_apartment","other","Postcode","CouncilArea","House_price_mean","Type.x","Primary_School_number","Type.y","Pri_Sec_School_number","Type.x.x","Secondary_School_number","Type.y.y","Special_School_number","Type.x.x.x","Camp_School_number","Type.y.y.y","Language_School_number"
"162","NOBLE PARK",39693,9537,1792,2332,3,3174,"Greater Dandenong City Council",754250,"Primary","5","Pri/Sec","1","Secondary","1","Special","1","Camp","0","Language","1"
"163","NORTH MELBOURNE",14953,272,1741,4430,39,3051,"Melbourne City Council",1299375,"Primary","2","Pri/Sec","0","Secondary","1","Special","2","Camp","0","Language","0"
"164","NORTHCOTE",25276,5023,2801,2333,65,3070,"Darebin City Council",1672075,"Primary","3","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"165","NUNAWADING",23191,6093,2287,276,3,3131,"Manningham City Council",1247500,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"166","OAK PARK",36772,8140,4466,911,20,3046,"Moreland City Council",1096625,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"167","OAKLEIGH",24753,5793,1941,1621,5,3166,"Monash City Council",1358625,"Primary","2","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"168","OAKLEIGH SOUTH",9851,2995,362,224,0,3167,"Kingston City Council",1169475,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"169","ORMOND",33130,6923,2683,2654,51,3204,"Glen Eira City Council",1946875,"Primary","2","Pri/Sec","1","Secondary","0","Special","1","Camp","0","Language","0"
"170","PAKENHAM",55588,16400,2349,105,49,3810,"Cardinia Shire Council",598500,"Primary","5","Pri/Sec","2","Secondary","2","Special","0","Camp","0","Language","0"
"171","PARKDALE",37364,8238,3675,1765,39,3195,"Kingston City Council",1509750,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"172","PARKVILLE",7297,48,775,1320,4,3052,"Melbourne City Council",1970250,"Primary","0","Pri/Sec","0","Secondary","1","Special","2","Camp","0","Language","0"
"173","PASCOE VALE",28701,6471,3899,523,25,3044,"Moreland City Council",1040625,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"174","PATTERSON LAKES",12032,2655,1516,698,4,3197,"Kingston City Council",1308125,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"175","PLENTY",2575,735,0,0,0,3090,"Nillumbik Shire Council",1485625,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"176","POINT COOK",119201,33400,4370,892,40,3030,"Wyndham City Council",731375,"Primary","3","Pri/Sec","5","Secondary","2","Special","0","Camp","0","Language","0"
"177","PORT MELBOURNE",17633,467,3434,3912,17,3207,"Melbourne City Council",1774875,"Primary","1","Pri/Sec","0","Secondary","0","Special","1","Camp","0","Language","0"
"178","PRAHRAN",19636,1592,2337,5856,33,3181,"Stonnington City Council",1818125,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"179","PRESTON",33790,7600,3397,2498,138,3072,"Darebin City Council",1253875,"Primary","5","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"180","RESERVOIR",51096,12804,6582,786,73,3073,"Darebin City Council",939125,"Primary","6","Pri/Sec","0","Secondary","2","Special","2","Camp","0","Language","0"
"181","RICHMOND",31534,2262,4690,7604,68,3121,"Yarra City Council",1465250,"Primary","3","Pri/Sec","0","Secondary","4","Special","2","Camp","0","Language","0"
"182","RIDDELLS CREEK",4390,1423,80,7,0,3431,"Macedon Ranges Shire Council",855000,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"183","RINGWOOD",34607,10846,872,1015,5,3134,"Maroondah City Council",1015250,"Primary","3","Pri/Sec","1","Secondary","3","Special","0","Camp","0","Language","0"
"184","RINGWOOD EAST",20698,7131,471,44,3,3135,"Maroondah City Council",1041750,"Primary","1","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"185","RINGWOOD NORTH",34607,10846,872,1015,5,3134,"Manningham City Council",1159000,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"186","ROSANNA",27045,7239,1339,1514,18,3084,"Banyule City Council",1386325,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"187","ROWVILLE",33571,10469,822,97,4,3178,"Knox City Council",1011975,"Primary","5","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"188","ROXBURGH PARK",114413,29684,2517,301,3,3064,"Hume City Council",612875,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"189","SANDRINGHAM",10926,2133,956,1145,19,3191,"Bayside City Council",2341875,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"190","SCORESBY",6066,1998,65,9,0,3179,"Knox City Council",959000,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"191","SEAFORD",17215,5295,1666,182,43,3198,"Frankston City Council",853250,"Primary","7","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"192","SEDDON",22278,3724,1445,4200,69,3011,"Maribyrnong City Council",1189375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"193","SOUTH MELBOURNE",11548,259,1967,3250,50,3205,"Port Phillip City Council",1646250,"Primary","1","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"194","SOUTH MORANG",24989,6781,1217,34,0,3752,"Whittlesea City Council",723375,"Primary","1","Pri/Sec","2","Secondary","0","Special","0","Camp","0","Language","0"
"195","SOUTH YARRA",25028,964,1678,10404,21,3141,"Melbourne City Council",2151375,"Primary","2","Pri/Sec","1","Secondary","1","Special","1","Camp","0","Language","0"
"196","SOUTHBANK",22699,3,158,11712,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","SPOTSWOOD",18634,4373,2042,452,30,3015,"Hobsons Bay City Council",1222875,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"198","SPRINGVALE",22174,4972,1441,644,101,3171,"Greater Dandenong City Council",854525,"Primary","4","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"199","ST ALBANS",55112,14505,2151,1227,31,3021,"Brimbank City Council",679375,"Primary","10","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"200","ST KILDA",22438,686,1417,9194,459,3182,"Port Phillip City Council",1607575,"Primary","2","Pri/Sec","2","Secondary","1","Special","0","Camp","0","Language","0"
"201","STRATHMORE",13111,3092,891,814,14,3041,"Moonee Valley City Council",1568375,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"202","STRATHMORE HEIGHTS",13111,3092,891,814,14,3041,"Moonee Valley City Council",996875,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"203","SUNSHINE",44372,11614,2459,1098,16,3020,"Brimbank City Council",869625,"Primary","5","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"204","SUNSHINE NORTH",44372,11614,2459,1098,16,3020,"Brimbank City Council",737300,"Primary","3","Pri/Sec","0","Secondary","0","Special","1","Camp","0","Language","0"
"205","SUNSHINE WEST",44372,11614,2459,1098,16,3020,"Brimbank City Council",730125,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"206","SURREY HILLS",18608,4377,1693,820,10,3127,"Boroondara City Council",2286875,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"207","SYDENHAM",51402,12656,2841,298,0,3037,"Brimbank City Council",691875,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"208","TAYLORS LAKES",26703,7902,976,48,3,3038,"Brimbank City Council",889650,"Primary","1","Pri/Sec","0","Secondary","3","Special","0","Camp","0","Language","0"
"209","TEMPLESTOWE",16966,4436,1065,214,0,3106,"Manningham City Council",1600000,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"210","TEMPLESTOWE LOWER",14164,4087,912,60,5,3107,"Manningham City Council",1405000,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"211","THOMASTOWN",20234,6192,699,445,3,3074,"Whittlesea City Council",712625,"Primary","5","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"212","THORNBURY",19005,4111,1872,1957,52,3071,"Darebin City Council",1504250,"Primary","4","Pri/Sec","2","Secondary","1","Special","0","Camp","0","Language","0"
"213","TOORAK",12817,1664,1084,2731,0,3142,"Stonnington City Council",6100000,"Primary","1","Pri/Sec","3","Secondary","0","Special","0","Camp","0","Language","0"
"214","TRUGANINA",129888,33516,3435,985,0,3029,"Melton City Council",613100,"Primary","1","Pri/Sec","2","Secondary","0","Special","0","Camp","0","Language","0"
"215","TULLAMARINE",17912,5270,1523,60,0,3043,"Brimbank City Council",746950,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"216","VERMONT SOUTH",22951,6638,1135,113,7,3133,"Whitehorse City Council",1419050,"Primary","3","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"217","WANTIRNA",34940,10080,1737,342,0,3152,"Knox City Council",1055500,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"218","WANTIRNA SOUTH",34940,10080,1737,342,0,3152,"Knox City Council",1223125,"Primary","4","Pri/Sec","1","Secondary","0","Special","1","Camp","0","Language","0"
"219","WARRANDYTE",8562,2744,17,5,5,3113,"Manningham City Council",1255000,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"220","WERRIBEE",119201,33400,4370,892,40,3030,"Wyndham City Council",569750,"Primary","13","Pri/Sec","4","Secondary","4","Special","0","Camp","0","Language","0"
"221","WEST FOOTSCRAY",27023,5798,2803,1892,41,3012,"Maribyrnong City Council",1025575,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"222","WEST MELBOURNE",8025,46,718,3066,21,3003,"Melbourne City Council",1253750,"Primary","0","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"223","WESTMEADOWS",9812,2941,569,20,5,3049,"Hume City Council",725375,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"224","WHEELERS HILL",63298,17602,1948,2157,0,3150,"Monash City Council",1375375,"Primary","6","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"225","WILLIAMSTOWN",16025,3321,1926,839,7,3016,"Hobsons Bay City Council",1635250,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"226","WINDSOR",19636,1592,2337,5856,33,3181,"Port Phillip City Council",1578625,"Primary","1","Pri/Sec","0","Secondary","2","Special","0","Camp","0","Language","0"
"227","WOLLERT",24407,6382,718,139,11,3750,"Whittlesea City Council",634075,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"228","WYNDHAM VALE",34004,10022,451,10,0,3024,"Wyndham City Council",531875,"Primary","2","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"229","YARRAVILLE",15636,4346,981,661,74,3013,"Maribyrnong City Council",1184125,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"230","ARDEER",3170,876,229,7,29,3022,"Brimbank City Council",716000,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"231","BAYSWATER",21276,5711,1948,582,0,3153,"Knox City Council",878325,"Primary","6","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"232","BERWICK",51308,15124,1752,53,17,3806,"Casey City Council",835375,"Primary","6","Pri/Sec","3","Secondary","2","Special","0","Camp","0","Language","0"
"233","BRIAR HILL",27181,8524,1290,221,0,3088,"Banyule City Council",1026625,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"234","BROOKLYN",27023,5798,2803,1892,41,3012,"Brimbank City Council",867250,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"235","BURNSIDE HEIGHTS",67146,17430,1894,353,4,3023,"Melton City Council",697750,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"236","CAIRNLEA",67146,17430,1894,353,4,3023,"Brimbank City Council",822625,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"237","CLARINDA",20820,4936,1875,542,0,3169,"Kingston City Council",1041750,"Primary","1","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"238","CLYDE NORTH",43202,12645,332,8,0,3978,"Casey City Council",681875,"Primary","3","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"239","CROYDON HILLS",46296,15399,1565,589,10,3136,"Maroondah City Council",1108875,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"240","CROYDON NORTH",46296,15399,1565,589,10,3136,"Maroondah City Council",1049375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"241","DOREEN",50494,15017,1137,129,5,3754,"Nillumbik Shire Council",705650,"Primary","4","Pri/Sec","2","Secondary","0","Special","0","Camp","0","Language","0"
"242","EMERALD",7974,2689,22,16,0,3782,"Cardinia Shire Council",875250,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"243","EUMEMMERRING",11889,3169,849,11,9,3177,"Casey City Council",648075,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"244","GISBORNE",11715,3556,359,33,0,3437,"Macedon Ranges Shire Council",925750,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"245","HALLAM",11355,2738,738,50,0,3803,"Casey City Council",695000,"Primary","1","Pri/Sec","0","Secondary","2","Special","0","Camp","0","Language","0"
"246","HAMPTON EAST",18587,4247,1582,1127,51,3188,"Bayside City Council",1512625,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"247","HEALESVILLE",10922,3754,292,11,41,3777,"Yarra Ranges Shire Council",758125,"Primary","3","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"248","KEILOR LODGE",26703,7902,976,48,3,3038,"Brimbank City Council",815750,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"249","KINGS PARK",55112,14505,2151,1227,31,3021,"Brimbank City Council",600975,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"250","KINGSBURY",31529,8503,1699,1139,0,3083,"Darebin City Council",840625,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"251","LOWER PLENTY",3962,1107,308,57,0,3093,"Banyule City Council",1211075,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"252","LYNBROOK",18048,4633,283,28,0,3975,"Casey City Council",742000,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"253","MELTON SOUTH",37062,10574,905,17,3,3338,"Melton City Council",460000,"Primary","4","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"254","MELTON WEST",40724,12438,1051,72,8,3337,"Melton City Council",506375,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"255","MICKLEHAM",114413,29684,2517,301,3,3064,"Hume City Council",635250,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"256","MONT ALBERT",18608,4377,1693,820,10,3127,"Boroondara City Council",2428825,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"257","MONTROSE",6900,2138,92,92,0,3765,"Yarra Ranges Shire Council",857575,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"258","OAKLEIGH EAST",24753,5793,1941,1621,5,3166,"Monash City Council",1179125,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"259","PRINCES HILL",8186,279,2352,788,45,3054,"Yarra City Council",2070750,"Primary","0","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"260","ROCKBANK",6195,1917,33,14,106,3335,"Melton City Council",566500,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"261","SEABROOK",28191,9016,1062,431,11,3028,"Hobsons Bay City Council",722625,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"262","SEAHOLME",13556,3573,1578,423,15,3018,"Hobsons Bay City Council",1235250,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"263","SKYE",117143,32025,3891,520,4,3977,"Frankston City Council",745250,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"264","SPRINGVALE SOUTH",23261,6346,1093,125,60,3172,"Greater Dandenong City Council",800500,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"265","ST HELENA",27181,8524,1290,221,0,3088,"Banyule City Council",1132325,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"266","SUNBURY",39093,12563,580,1033,0,3429,"Hume City Council",644875,"Primary","9","Pri/Sec","1","Secondary","3","Special","1","Camp","0","Language","0"
"267","TARNEIT",129888,33516,3435,985,0,3029,"Wyndham City Council",599625,"Primary","4","Pri/Sec","2","Secondary","2","Special","0","Camp","0","Language","0"
"268","TAYLORS HILL",51402,12656,2841,298,0,3037,"Melton City Council",840200,"Primary","0","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"269","TECOMA",9024,3143,51,15,7,3160,"Yarra Ranges Shire Council",954875,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"270","THE BASIN",4500,1462,74,3,4,3154,"Knox City Council",891250,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"271","VERMONT",22951,6638,1135,113,7,3133,"Maroondah City Council",1230825,"Primary","3","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"272","VIEWBANK",27045,7239,1339,1514,18,3084,"Banyule City Council",1250250,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"273","VIEWBANK",27045,7239,1339,1514,18,3084,"Banyule City Council",1250250,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"274","WERRIBEE SOUTH",119201,33400,4370,892,40,3030,"Wyndham City Council",805625,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"275","WILLIAMS LANDING",9448,2507,156,155,0,3027,"Wyndham City Council",752500,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"276","CAULFIELD",18075,3366,2258,1095,17,3162,"Glen Eira City Council",2055250,"Primary","0","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"277","CROYDON SOUTH",46296,15399,1565,589,10,3136,"Maroondah City Council",903200,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"278","FLEMINGTON",17772,1491,3238,3075,33,3031,"Melbourne City Council",1214625,"Primary","3","Pri/Sec","0","Secondary","2","Special","0","Camp","0","Language","0"
"279","GARDENVALE",13433,2037,1063,2512,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","HAWTHORN EAST",14834,2067,1124,3044,5,3123,"Boroondara City Council",2306875,"Primary","2","Pri/Sec","1","Secondary","3","Special","0","Camp","0","Language","0"
"281","KEALBA",55112,14505,2151,1227,31,3021,"Brimbank City Council",670625,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"282","KEILOR",5974,1877,274,0,0,3036,"Brimbank City Council",1060325,"Primary","2","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"283","KEILOR PARK",16763,4495,2030,129,14,3042,"Brimbank City Council",813325,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"284","NIDDRIE",16763,4495,2030,129,14,3042,"Moonee Valley City Council",1218375,"Primary","2","Pri/Sec","1","Secondary","2","Special","1","Camp","0","Language","0"
"285","BURNLEY",31534,2262,4690,7604,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","CHIRNSIDE PARK",11779,3987,65,17,0,3116,"Yarra Ranges Shire Council",891875,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"287","CREMORNE",31534,2262,4690,7604,68,3121,"Yarra City Council",1571300,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"288","GLEN HUNTLY",32810,4677,4113,5248,66,3163,"Glen Eira City Council",1803875,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"289","HAMPTON PARK",26082,7344,498,64,0,3976,"Casey City Council",618875,"Primary","5","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"290","MANOR LAKES",34004,10022,451,10,0,3024,"Wyndham City Council",597875,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"291","NORTH WARRANDYTE",8562,2744,17,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","PLUMPTON",6195,1917,33,14,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","SOUTH KINGSVILLE",18634,4373,2042,452,30,3015,"Hobsons Bay City Council",1085325,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"294","WALLAN",15931,4803,349,7,0,3756,"Mitchell Shire Council",572500,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"295","WARRANWOOD",34607,10846,872,1015,5,3134,"Maroondah City Council",1156125,"Primary","1","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"296","WATSONIA",9156,3159,294,22,0,3087,"Banyule City Council",977875,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"297","DOVETON",11889,3169,849,11,9,3177,"Casey City Council",584000,"Primary","1","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"298","FERNY CREEK",1524,530,0,0,0,3786,"Yarra Ranges Shire Council",1039500,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"299","BALACLAVA",17964,1463,1314,5123,26,3183,"Port Phillip City Council",1568500,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"300","CAMPBELLFIELD",4977,1357,88,44,105,3061,"Hume City Council",604500,"Primary","1","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"301","COOLAROO",18081,4442,787,47,0,3048,"Hume City Council",498750,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"302","DIGGERS REST",5669,1903,151,0,4,3427,"Hume City Council",6e+05,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"303","HEATHERTON",2826,788,102,69,0,3202,"Kingston City Council",1143125,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"304","LANGWARRIN",23588,7046,1314,14,147,3910,"Frankston City Council",810500,"Primary","4","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"305","LAVERTON",28191,9016,1062,431,11,3028,"Hobsons Bay City Council",606875,"Primary","1","Pri/Sec","1","Secondary","0","Special","2","Camp","0","Language","0"
"306","WANDIN NORTH",14257,4900,7,8,0,3139,"Yarra Ranges Shire Council",761725,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"307","WATSONIA NORTH",9156,3159,294,22,0,3087,"Banyule City Council",954700,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"308","YALLAMBIE",14050,4122,910,122,8,3085,"Banyule City Council",1027125,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"309","DOCKLANDS",15495,41,108,7376,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","WATTLE GLEN",1911,604,0,5,0,3096,"Nillumbik Shire Council",974625,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"311","KOOYONG",10763,1972,822,1359,151,3144,"Stonnington City Council",3768750,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"312","NOTTING HILL",21880,2640,2703,1794,3,3168,"Monash City Council",1148125,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"313","WILLIAMSTOWN NORTH",16025,3321,1926,839,7,3016,"Hobsons Bay City Council",1205000,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"314","BURNSIDE",67146,17430,1894,353,4,3023,"Melton City Council",705375,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"315","CHELSEA HEIGHTS",26876,5170,2893,2692,144,3196,"Kingston City Council",973000,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"316","DERRIMUT",119201,33400,4370,892,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","KILSYTH",14558,4788,672,58,0,3137,"Maroondah City Council",789000,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"318","NEW GISBORNE",2509,776,22,0,0,3438,"Macedon Ranges Shire Council",797750,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"319","RIPPONLEA",13433,2037,1063,2512,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","PENTLAND HILLS",1644,552,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","CRANBOURNE EAST",117143,32025,3891,520,4,3977,"Casey City Council",661200,"Primary","2","Pri/Sec","1","Secondary","0","Special","1","Camp","0","Language","0"
"322","EYNESBURY",37062,10574,905,17,3,3338,"Melton City Council",668750,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"323","GISBORNE SOUTH",11715,3556,359,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","OAKLANDS JUNCTION",563,166,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","SANDHURST",117143,32025,3891,520,4,3977,"Frankston City Council",945000,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"326","RESEARCH",28373,8643,427,551,4,3095,"Nillumbik Shire Council",1132625,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"327","TRAVANCORE",29874,4607,3050,4387,22,3032,"Moonee Valley City Council",1780000,"Primary","0","Pri/Sec","0","Secondary","0","Special","1","Camp","0","Language","0"
"328","UPWEY",6818,2374,9,24,0,3158,"Yarra Ranges Shire Council",887125,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"329","WATERWAYS",37364,8238,3675,1765,39,3195,"Kingston City Council",1431375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"330","YAN YEAN",246,81,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
